filename,ElectronEnergy(Hart.),ThermalCorrectionGibbs(Hart.),ZeroPointViberationEnergy(Hart.),SolvationEnergy(Hart.),GibssFreeEnergy_298K(Hart.),Voltage,idx,smiles
tp_PO2FLi_mol_188_,-1144.2600555,0.030974,0.065808,-0.0977027999999791,-1144.2609762999998,4.6820631864964035,188,O=P(F)(O[Na])c1ccsc1
tp_PO2FLi_mol_189_,-823.6882881,0.079403,0.114226,-0.10724629999992885,-823.6019054,4.527654343677954,189,O=P(F)(O[Na])C1CCCO1
tp_PO2FLi_mol_190_,-827.1006851,0.129957,0.165607,-0.10114400000009027,-826.9062651,5.1762917583079595,190,O=P(F)(O[Na])C1CCCCC1
tp_PO2FLi_mol_191_,-746.2661694,0.04525,0.07876,-0.10645220000003519,-746.2486116,5.375275732498066,191,COCP(=O)(F)O[Na]
tp_PO3Li2_mol_108_,-1067.2146875,-0.010267,0.025691,-0.1342102999999497,-1067.3334738,4.810332678139341,108,O=P(O[Na])(O[Na])C(F)(F)F
tp_PO3Li2_mol_109_,-769.4139373,0.016639,0.048117,-0.15340819999994437,-769.5025894999999,4.346869409752388,109,CP(=O)(O[Na])O[Na]
tp_PO3Li2_mol_110_,-961.1509605,0.062681,0.100004,-0.1460816999999679,-961.1343572,4.339301896150712,110,O=P(O[Na])(O[Na])c1ccccc1
tp_PO3Li2_mol_111_,-977.1999998,0.050902,0.088723,-0.14476379999996425,-977.2051386,4.4296113680890326,111,O=P(O[Na])(O[Na])c1cccnc1
tp_PO3Li2_mol_112_,-1060.4095447,0.052764,0.0918,-0.14173120000009476,-1060.4067119000001,4.496372022077674,112,O=P(O[Na])(O[Na])c1ccc(F)cc1
tp_PO3Li2_mol_113_,-1298.2564291,0.06022,0.103946,-0.1330695999999989,-1298.2253327,4.431083509356057,113,O=P(O[Na])(O[Na])c1ccc(C(F)(F)F)cc1
tp_PO3Li2_mol_114_,-1165.6860496,0.059545,0.101881,-0.13046120000012706,-1165.6550848,4.549273867434582,114,O=[N+](O[Na])c1ccc(P(=O)(O[Na])O[Na])cc1
tp_PO3Li2_mol_115_,-1114.7897021,0.103721,0.145015,-0.14454239999986385,-1114.6855085,4.0835846996949865,115,O=P(O[Na])(O[Na])c1ccc2ccccc2c1
tp_PO3Li2_mol_116_,-1281.9223014,0.029904,0.067281,-0.14486600000009275,-1281.9699824,4.383996758046415,116,O=P(O[Na])(O[Na])c1ccsc1
tp_PO3Li2_mol_117_,-961.3487988,0.077603,0.115509,-0.15606239999999616,-961.3117492000001,4.483680586104894,117,O=P(O[Na])(O[Na])C1CCCO1
tp_PO3Li2_mol_118_,-964.7599154,0.129709,0.167229,-0.1440244000000348,-964.6070017999999,4.210284088717014,118,O=P(O[Na])(O[Na])C1CCCCC1
tp_PO3Li2_mol_119_,-883.9238816,0.044409,0.08022,-0.15783250000004045,-883.9570851,4.394527602217247,119,COCP(=O)(O[Na])O[Na]
tp_Ph-OLi-12_mol_192_,-718.5139701,0.046979,0.083661,-0.3113134999999829,-718.6946436000001,2.3288603399504937,192,FC(F)(F)c1ccc(O[Na])c(O[Na])c1
tp_Ph-OLi-12_mol_193_,-420.6901447,0.073255,0.105789,-0.3392402000000061,-420.8503409,1.9776335570294625,193,Cc1ccc(O[Na])c(O[Na])c1
tp_Ph-OLi-12_mol_194_,-612.455737,0.120681,0.157785,-0.31388860000004115,-612.4911596000001,2.094642936725806,194,[Na]Oc1ccc(-c2ccccc2)cc1O[Na]
tp_Ph-OLi-12_mol_195_,-628.5076495,0.109115,0.146654,-0.3098605000000134,-628.561741,2.1375935425186694,195,[Na]Oc1ccc(-c2cccnc2)cc1O[Na]
tp_Ph-OLi-12_mol_196_,-711.7143183,0.111244,0.149768,-0.3087702000000263,-711.7620764999999,2.0996226382336136,196,Fc1ccc(-c2ccc(O[Na])c(O[Na])c2)cc1
tp_Ph-OLi-12_mol_197_,-949.5742698,0.117344,0.161789,-0.28941580000002887,-949.5845526,2.160281117012838,197,FC(F)(F)c1ccc(-c2ccc(O[Na])c(O[Na])c2)cc1
tp_Ph-OLi-12_mol_198_,-817.03092,0.118557,0.159952,-0.2623079999999618,-817.014719,2.2011840586623186,198,O=[N+](O[Na])c1ccc(-c2ccc(O[Na])c(O[Na])c2)cc1
tp_Ph-OLi-12_mol_199_,-766.1067008,0.161988,0.202925,-0.29997230000003583,-766.0417601,2.1065370762293334,199,[Na]Oc1ccc(-c2ccc3ccccc3c2)cc1O[Na]
tp_Ph-OLi-12_mol_200_,-933.2230617,0.088076,0.125278,-0.3149051000000327,-933.3246128000001,2.0783881569698184,200,[Na]Oc1ccc(-c2ccsc2)cc1O[Na]
tp_Ph-OLi-12_mol_201_,-612.6373246,0.135119,0.173283,-0.3361139999999523,-612.6650366,2.0491385331927763,201,[Na]Oc1ccc(C2CCCO2)cc1O[Na]
tp_Ph-OLi-12_mol_202_,-616.0359617,0.186633,0.225126,-0.3291207999999415,-615.9533234999999,1.9162662191003075,202,[Na]Oc1ccc(C2CCCCC2)cc1O[Na]
tp_Ph-OLi-12_mol_203_,-535.2143286,0.101355,0.138043,-0.3375106999999389,-535.3124412999999,2.06931040602008,203,COCc1ccc(O[Na])c(O[Na])c1
tp_Ph-OLi-14_mol_204_,-718.5181429,0.047955,0.083705,-0.3032848999999942,-718.6897678,2.1608103803705108,204,FC(F)(F)c1cc(O[Na])ccc1O[Na]
tp_Ph-OLi-14_mol_205_,-420.7039542,0.073821,0.105928,-0.32563709999999446,-420.8498423,1.847558583458,205,Cc1cc(O[Na])ccc1O[Na]
tp_Ph-OLi-14_mol_206_,-612.4601055,0.120523,0.157551,-0.30425239999999576,-612.4862839,1.9255643830630351,206,[Na]Oc1ccc(O[Na])c(-c2ccccc2)c1
tp_Ph-OLi-14_mol_207_,-628.5116096,0.109396,0.146467,-0.30089639999994233,-628.556643,1.9627665629361366,207,[Na]Oc1ccc(O[Na])c(-c2cccnc2)c1
tp_Ph-OLi-14_mol_208_,-711.7220265,0.111079,0.149465,-0.295876700000008,-711.7573592,1.9297236583391566,208,Fc1ccc(-c2cc(O[Na])ccc2O[Na])cc1
tp_Ph-OLi-14_mol_209_,-949.5787362,0.117598,0.161573,-0.2790426999999909,-949.5786079,2.0030558856297698,209,FC(F)(F)c1ccc(-c2cc(O[Na])ccc2O[Na])cc1
tp_Ph-OLi-14_mol_210_,-817.0300797,0.117772,0.159433,-0.25517790000003515,-817.0080526,2.0052069534126193,210,O=[N+](O[Na])c1ccc(-c2cc(O[Na])ccc2O[Na])cc1
tp_Ph-OLi-14_mol_211_,-766.10868,0.161829,0.202758,-0.29202490000000125,-766.0361179,1.9283753293266055,211,[Na]Oc1ccc(O[Na])c(-c2ccc3ccccc3c2)c1
tp_Ph-OLi-14_mol_212_,-933.2337074,0.087898,0.12508,-0.29967610000005607,-933.3204055,1.9205887632794658,212,[Na]Oc1ccc(O[Na])c(-c2ccsc2)c1
tp_Ph-OLi-14_mol_213_,-612.6500223,0.13501,0.173342,-0.3220401999999467,-612.6637105,1.9454124392394303,213,[Na]Oc1ccc(O[Na])c(C2CCCO2)c1
tp_Ph-OLi-14_mol_214_,-616.0450653,0.186278,0.224947,-0.31415609999999106,-615.9479964,1.8139796126324517,214,[Na]Oc1ccc(O[Na])c(C2CCCCC2)c1
tp_Ph-OLi-14_mol_215_,-535.224941,0.101953,0.138299,-0.3250772000000097,-535.3097662,1.9241521070642218,215,COCc1cc(O[Na])ccc1O[Na]
tp_SLi_mol_0_,-735.9279224,-0.015315,0.012961,-0.08032439999999497,-736.0106008,3.7289047794972405,0,FC(F)(F)S[Na]
tp_SLi_mol_10_,-633.4431521,0.122324,0.154027,-0.08623409999995602,-633.2530351999999,2.087831902364912,10,[Na]SC1CCCCC1
tp_SLi_mol_11_,-552.6248737,0.039007,0.067427,-0.09584740000002512,-552.6142871000001,2.5142494569116765,11,COCS[Na]
tp_SLi_mol_1_,-438.0995433,0.011559,0.03519,-0.09357920000002196,-438.14637350000004,2.2775149914495025,1,CS[Na]
tp_SLi_mol_2_,-629.862509,0.057122,0.087,-0.08260119999999915,-629.8009882,2.930424609004915,2,[Na]Sc1ccccc1
tp_SLi_mol_3_,-645.9119493,0.046069,0.075896,-0.08295120000002498,-645.8729355,2.751634276832379,3,[Na]Sc1cccnc1
tp_SLi_mol_4_,-729.1197412,0.047748,0.078983,-0.07841680000001361,-729.0714270000001,2.589543632173783,4,Fc1ccc(S[Na])cc1
tp_SLi_mol_5_,-966.9725496,0.054603,0.091153,-0.06932470000003832,-966.8961183,2.8644802995299092,5,FC(F)(F)c1ccc(S[Na])cc1
tp_SLi_mol_6_,-834.4083377,0.055055,0.089194,-0.06752060000007987,-834.3316093,3.2813520656065482,6,O=[N+](O[Na])c1ccc(S[Na])cc1
tp_SLi_mol_7_,-783.5045982,0.098701,0.132288,-0.07845929999996315,-783.3520685,2.970752027774943,7,[Na]Sc1ccc2ccccc2c1
tp_SLi_mol_8_,-950.6286532,0.02483,0.054569,-0.08280619999993633,-950.6320604,2.4867250411992763,8,[Na]Sc1ccsc1
tp_SLi_mol_9_,-630.0526115,0.072863,0.103062,-0.09184549999997671,-629.968532,2.522037383529438,9,[Na]SC1CCCO1
tp_SO2Li_mol_12_,-886.3634531,-0.011903,0.020219,-0.09077769999998964,-886.4459148,4.064114883141304,12,O=S(O[Na])C(F)(F)F
tp_SO2Li_mol_13_,-588.5683421,0.015047,0.042515,-0.10929109999995035,-588.6200712,3.1636460719252564,13,CS(=O)O[Na]
tp_SO2Li_mol_14_,-780.3020538,0.060589,0.093993,-0.10470700000007582,-780.2521788,3.257645421050237,14,O=S(O[Na])c1ccccc1
