NumAtoms,NumHeteroatoms,NumHAcceptors,TPSA,MolLogP,MinPartialCharge,FpDensityMorgan1,MaxEStateIndex,MinEStateIndex,Eccentricity,NPR2,SpherocityIndex,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,P_ratio
0.4375,0.4375,0.40000000000000013,0.18469234617308644,0.46153011363474133,0.4195505385608582,0.5679012345679012,0.5724703904735158,0.22830831178231692,0.7506913786738991,0.13154938941300065,0.0,0.07117464313499522,0.5142857142857142,1.0,0.0,0.6690342515504092,0.34495967741935507,0.42307692307692313,0.026363636363636478,0.37499999999999994,0.0747191011235955,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.42271135567783874,0.2977293042835073,0.4196958470459482,0.8280701754385965,0.3625333487427884,0.2697669412637249,0.41497388829733417,0.035609749391197765,0.19698665173556618,0.3189293053497573,0.5142857142857142,1.0,0.0,0.6721684217233977,0.4677419354838701,0.45344129554655865,0.24976076555023918,0.19736842105263153,0.08988764044943817,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.2770385192596298,0.3172805341603911,0.009506639179942322,0.6807017543859649,0.37855207165145366,0.2776956172591628,0.39129972271586366,0.39140189960448013,0.6356699366559257,0.8443406039984311,0.5142857142857142,1.0,0.0,0.3135627889729874,0.28806058221872544,0.5966228893058161,0.012860310421286103,0.18292682926829268,0.06768977802137574,0.0,0.0,0.0
0.5,0.5,0.6000000000000001,0.2770385192596298,0.4443663842219349,0.42013977469130137,0.4298245614035089,0.38301182973397996,0.2333667549050642,0.6148284076549544,0.5378496156151049,0.8154089065976772,0.9398981904637158,0.5142857142857142,1.0,0.0,0.6826397749164526,0.28806058221872544,0.5966228893058161,0.012860310421286103,0.3658536585365853,0.06768977802137574,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.18469234617308644,0.41913484522657013,0.41967049695660275,0.7789473684210527,0.39149649420390986,0.28451149662366204,0.41709114112635337,0.3567936657384332,0.5257007261107157,0.7128810899072153,0.5142857142857142,1.0,0.0,0.6712731198757345,0.28806058221872544,0.4090056285178236,0.012860310421286103,0.18292682926829268,0.34886270211016723,0.0,0.0,0.0
0.5,0.5,0.6000000000000001,0.18469234617308644,0.5462206952881139,0.41967070548961627,0.6052631578947368,0.3959562522864353,0.24018263426956343,0.738414730010962,0.6962059989690663,0.6429305603431397,0.7665779469285565,0.5142857142857142,1.0,0.0,0.6712974170629437,0.28806058221872544,0.4090056285178236,0.012860310421286103,0.3658536585365853,0.34886270211016723,0.0,0.0,0.0
0.25,0.3125,0.40000000000000013,0.18469234617308644,0.4249322446788158,0.4196689523863082,0.7953216374269004,0.3486989971398522,0.2830161761508382,0.7426267756266602,0.45693684515927147,0.3520897351836728,0.4428874770416966,0.7384615384615381,1.0,0.0,0.6713118676280693,0.3539668700959022,0.4698544698544699,0.07125307125307134,0.2027027027027027,0.09808685089583971,0.0,0.0,0.0
0.375,0.3125,0.6000000000000001,0.21710855427713843,0.3254768575239109,0.4198480000191098,0.622132253711201,0.42588011660887126,0.28157649550956143,0.29913626765502377,0.4861023183053048,0.6463637641247376,0.7413318480982081,0.31999999999999984,1.0,0.0,0.6754507812992754,0.23387096774193505,0.3589743589743589,0.12888888888888894,0.16666666666666663,0.04269662921348319,0.0,0.0,0.0
0.375,0.4375,0.8,0.6163081540770383,0.3029441079287292,0.4207081508278929,0.8110661268556006,0.3664166755085265,0.2515309864742179,0.5198614382965929,0.40509391222814073,0.5581185116870145,0.6543855955308375,0.7384615384615381,1.0,0.0,0.6965087426268516,0.23387096774193594,0.8323471400394475,0.22983682983682974,0.1923076923076923,0.08210890233362142,0.0,0.0,0.0
0.5625,0.5,0.8,0.5586793396698349,0.20900053404615648,0.4196896782214832,0.6400483968542044,0.46688876638963883,0.2502573559552138,0.7199439355855128,0.4431684570155172,0.22680596247117346,0.4912084880859291,0.31999999999999984,1.0,0.0,0.6723228219469943,0.09501008064516103,0.6474358974358972,0.08787878787878789,0.15624999999999997,0.2668539325842697,0.0,0.0,0.0
0.4375,0.4375,0.40000000000000013,0.18469234617308644,0.46153011363474133,0.4211931934403199,0.5679012345679012,0.6220633577346684,0.20768707741439285,0.5189212580055851,0.02938317948181912,0.07377529075931194,0.21095706892185284,0.5142857142857142,1.0,0.0,0.7084840066121899,0.34495967741935507,0.42307692307692313,0.026363636363636478,0.37499999999999994,0.0747191011235955,0.0,0.0,0.0
